Butter
Buttermilk
Cheese block
Cheddar
Swiss
Parmesean (block)
Cheese (shredded)
Mozzarella (shredded)
Parmesan (shredded)
Cheese (sliced)
Cheese (soft)
Brie
Camenbert
Cheese (cottage)
Ricotta
Cheese (Cream)
Cream (whipping)
Whipped cream (spray can)
Whipped cream (tub)
Dip
Egg substitute (liquid)
Eggnog
Eggs
Margarine
Milk
Milk (flavoured)
Chocolate milk
Sour cream
Yogurt
Soy milk
Tofu
Miso
"Fish (Lean - cod, flounder, haddock, pollock, perch, trout, etc)"
"Fish (Fatty - bluefish, mackerel, mullet, salmon, tuna, etc.)"
Caviar
Fish (cooked)
Surimi seafood
Herring (smoked)
Salmon (smoked)
Shrimp
Squid
Crayfish
Scallops
Oysters (shucked)
Mussels (shucked)
Clams (shucked) 
Crab (fresh)
Crab (pasteurised meat)
Clams (live)
Mussels (live)
Crab (live)
Oysters (live)
Lobster (fresh)
Lobster tail
Shellfish (cooked)
Beef (fresh)
Pork (fresh)
Lamb (fresh)
Lamb chops
Pork chops
Steak
Roasting meat (fresh)
Ground meat
Mince meat
Bacon
Beef (corned)
"Ham (whole, cooked)"
"Ham (sliced, cooked)"
Hot dogs
Pepperoni (packaged)
Salami (packaged)
"Meats (sliced, packed)"
Small goods (packaged)
Sausage (raw)
Sausage (smoked)
Patties
Sausage (dry)
Chicken (whole)
Turkey (whole)
Chicken (parts)
Turkey (parts)
Giblets
Chicken nuggets
Chicken patties
Chicken (fried)
Chicken mince
Chicken (sliced)
Chicken (roast)
Apples
Apricots
Avocados
Bananas
Berries
cherries
Strawberries
Citrus Fruit
"Coconuts, fresh"
"Coconut, shredded"
Grapes
Kiwi Fruit
Melons
Watermelon
Rockmelon
Papaya
Mango
Peaches
Nectarines
Pears
Plums
Artichokes (whole)
Asparagus
Beans
Beets
Bok choy
Broccoli
Brussels sprouts
Cauliflower
Cabbage
Carrots
Parsnip
Celery
Corn (on the cob)
Cucumber
Eggplant
Garlic
Ginger
Greens
Herbs (fresh)
Leeks
Lettuce (whole)
Lettuce (loose leaf)
Mushrooms
Okra
Onions
Spring onion
Parsley
Coriander
Cilantro
Peppers
Capsicum
Potatoes
Radishes
Rutabagas
Spinach
Squash
Turnips
Tomatoes
Zucchini
Bagels
Bread Dough
Fish (crumbed)
"Fish (frozen, raw)"
Frozen berries
Guacamole
Ice cream
Lobster tails (frozen)
Prawns (frozen)
Soy meat substitutes (frozen)
Tempeh
Ready meals
Vegetables (frozen)
Pate
Salad mix
Olives
Cheesecake
Fruit (tinned)
Vegetables (tinned)
Meat (canned)
Cereal
Beans (dry)
Beans (tinned)
Soup (tinned)
Pickles
Sauerkraut
Coffee (whole)
Coffee (ground)
Coffee (instant)
Baking powder
Baking soda
Biscuit mix
Pancake mix
Cake mix
Cornmeal
Cornstarch
Flour (white)
Flour (whole wheat)
Frosting (canned)
Frosting mix
Chocolate
Chocolate syrup
Cocoa
Barbecue sauce
Cocktail sauce
Tomato sauce
Ketchup
Chilli sauce
Chutney
Horseradish
Mayonnaise
Mustard
Olives
Pickles
Salad Dressings
Salsa
Taco sauce
Biscuits
Cookies
Crackers
Diet powder mix
Vanilla essence
Fruit (dried)
Gelatin
Jelly
Gravy
Dry gravy mix
Herbs (dry)
Honey
Jam
Jerky
Juice box
Lentils (dry)
Marshmallows
Milk (evaporated)
Molasses
Mushrooms (dried)
Oil
Nut oils
Oil spray
Nuts
Pasta
Egg noodles
Peanut butter
Popcorn kernels
Popcorn
Microwave popcorn
Potato chips
Pudding mix
Rice
Brown rice
Flavoured rice mix
Spaghetti sauce
Taco sauce
"Cream sauces, milk solids"
Shortening (solid)
Soup mixes
Stock powder
Stock cubes
Soy flour
Textured soy protein (TSP)
Soy protein (Re-hydrated)
Spice
Sugar (brown)
Sugar (white)
sugar substitutes
Maple syrup
Tapioca
Tea (bags)
Tea (loose)
Tomatoes (Sun-dried)
Vinegar
Water (bottled)
Worcestershire Sauce
Bread
Bread (Flat)
Tortilla
Bread (Pita)
"Cake (chiffon, sponge, chocolate, angel food)"
Fruit cake
Cheesecake
Cookies
Croissants
Doughnuts
Eclairs (cream-filled)
Muffins
Pastry
Danish
Bread Rolls
Arnotts
Arnott's
Wholemeal
Oreos
Shapes
Savoy
Ritz
Wafer
Tip top
Smiths
Bega
Primo
Abbotts
Cadbury
Mission
Wonder
Big M
Bonsoy
Bulla
Chobani
Chris
Danone
D'Orsogna
Evergreen
farmers union
gippsland
Ice break
Josh
Latina
Lurpak
Nuttelex
Obela
Tamar
Vaalia
Vitasoy
Yoplait
Yumi
Western Star
Aeroplane
Angas
Annalisa
Ardmona
Ayam
Barilla
Betty Crocker
Campbells
Campbell's
Cheezels
Cheetos
Continental
Doritos
Gravox
Grinders
Heinz
Kellogg's
Kelloggs
M&M
Maltesers
Moccona
Nescafe
Nutella
Patak
Praise
Sakata
espresso
T2
Thins
Uncle Tobys
zafarelli
Dodoni
Jarlsberg
Tassal
Lean cuisine
Weis
Magnum
Ben & Jerry
Streets
Peters
Belvita
